|COD_COL|COLE_INST_NOMBRE|COLE_DEPTO_COLEGIO|COLE_CALENDARIO_COLEGIO|COLE_GENEROPOBLACION|EVALUADOS_ULTIMOS_3|COLE_NATURALEZA|INDICE_MATEMATICAS|INDICE_C_NATURALES|INDICE_SOCIALES_CIUDADANAS|INDICE_LECTURA_CRITICA|INDICE_INGLES|INDICE_TOTAL|COLE_CATEGORIA|NOMBRE_DEPARTAMENTO|NOMBRE_MUNICIPIO|ZONA|LATITUD|LONGITUD|MODE_ESTRATOVIVIENDA|IND_EST_TRAB|MODE_EDU_MADRE|MODE_EDU_PADRE|IND_BILINGUE|CARACTER_IE|INDICE_AJUST|Cluster
0|205790000235|I. E. LA INMACULADA|ANTIOQUIA|A|MI|61|OFICIAL|0.54|0.5809|0.5543|0.615|0.5495|0.5708|D|ANTIOQUIA|TARAZA|Rural|7.444543834|-75.30775543|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.20611923384200176|0
1|105147000568|I. E. JOSE MARIA MUNOZ FLOREZ|ANTIOQUIA|A|MI|262|OFICIAL|0.6977|0.665|0.6726|0.7084|0.6564|0.6836|B|ANTIOQUIA|CAREPA|Urbano|7.7588151253|-76.65827802|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|TECNICO/ACADEMICO|0.6250999865229698|3
2|105147000401|I. E. COLOMBIA|ANTIOQUIA|A|MI|238|OFICIAL|0.6607|0.6462|0.6305|0.6924|0.6099|0.6538|C|ANTIOQUIA|CAREPA|Urbano|7.758056|-76.651667|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.5798025545253344|5
3|205138000142|I. E. R. BUENOS AIRES|ANTIOQUIA|A|MI|75|OFICIAL|0.6999|0.6628|0.6659|0.7133|0.5786|0.6772|B|ANTIOQUIA|CANASGORDAS|Rural|6.7291626120000005|-76.01037273|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.264988152041967|0
4|205138000142|I. E. R. BUENOS AIRES|ANTIOQUIA|A|MI|74|OFICIAL|0.4922|0.5244|0.5351|0.5914|0.5083|0.5337|D|ANTIOQUIA|CANASGORDAS|Rural|6.7291626120000005|-76.01037273|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.234362261475238|0
5|105134000046|I. E.  NUESTRA SENORA DEL ROSARIO|ANTIOQUIA|A|MI|113|OFICIAL|0.6191|0.6511|0.6367|0.6797|0.6032|0.6433|C|ANTIOQUIA|CAMPAMENTO|Urbano|6.978889|-75.299444|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.35414519599900357|0
6|205858000093|I. E. JHON F. KENNEDY|ANTIOQUIA|A|MI|111|OFICIAL|0.5094|0.5626|0.5348|0.586|0.5427|0.5478|D|ANTIOQUIA|VEGACHI|Rural|6.86212645|-74.79821047|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.32425504136173433|0
7|205858000093|I. E. JHON F. KENNEDY|ANTIOQUIA|A|MI|107|OFICIAL|0.49|0.5161|0.5244|0.5529|0.5052|0.5197|D|ANTIOQUIA|VEGACHI|Rural|6.86212645|-74.79821047|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.30834089665342|0
8|105147000045|I. E. LUIS CARLOS GALAN SARMIENTO|ANTIOQUIA|A|MI|293|OFICIAL|0.73|0.7112|0.7078|0.7331|0.6899|0.7182|B|ANTIOQUIA|CAREPA|Urbano|7.749638417000001|-76.65048725|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.6798818757705414|5
9|105467000019|I. E. MARIANO J. VILLEGAS|ANTIOQUIA|A|MI|116|OFICIAL|0.7119|0.7109|0.7099|0.736|0.6693|0.7135|B|ANTIOQUIA|MONTEBELLO|Urbano|5.944137327999999|-75.52219712|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|TECNICO/ACADEMICO|0.38016891214114457|0
