PERIODO	COLE_COD_DANE	COLE_INST_NOMBRE	COLE_CODMPIO_COLEGIO	COLE_MPIO_MUNICIPIO	COLE_COD_DEPTO	COLE_DEPTO_COLEGIO	COLE_NATURALEZA	COLE_GRADO	COLE_CALENDARIO_COLEGIO	COLE_GENEROPOBLACION	MATRICULADOS_ULTIMOS_3	EVALUADOS_ULTIMOS_3	INDICE_MATEMATICAS	INDICE_C_NATURALES	INDICE_SOCIALES_CIUDADANAS	INDICE_LECTURA_CRITICA	INDICE_INGLES	INDICE_TOTAL	COLE_CATEGORIA
20182	205790000235	I. E. LA INMACULADA	5790	TARAZÁ	5	ANTIOQUIA	OFICIAL	11	A	MI	72	61	0,54	0,5809	0,5543	0,615	0,5495	0,5708	D
20182	154128000019	INST EDUCATIVA COL NUESTRA SEÑORA DEL ROSARIO	54128	CÁCHIRA	54	NORTE SANTANDER	OFICIAL	11	A	MI	85	85	0,7415	0,7333	0,6653	0,7254	0,6765	0,7133	B
20182	108433000051	INSTITUCION EDUCATIVA SIMON BOLIVAR	8433	MALAMBO	8	ATLANTICO	OFICIAL	11	A	MI	198	194	0,6055	0,6358	0,609	0,666	0,6434	0,6302	C
20182	105147000568	I. E. JOSE MARIA MUÑOZ FLOREZ	5147	CAREPA	5	ANTIOQUIA	OFICIAL	11	A	MI	266	262	0,6977	0,665	0,6726	0,7084	0,6564	0,6836	B
20182	105147000401	I. E. COLOMBIA	5147	CAREPA	5	ANTIOQUIA	OFICIAL	11	A	MI	276	238	0,6607	0,6462	0,6305	0,6924	0,6099	0,6538	C
20182	219110000636	INSTITUCION EDUCATIVA PARA EL DESARROLLO INTERCULTURAL DE LAS COMUNIDADES INEDIC	19110	BUENOS AIRES	19	CAUCA	OFICIAL	11	A	MI	26	22	0,4838	0,5633	0,5319	0,5707	0,5343	0,5372	D
20182	419110000970	I.E. TIMBA	19110	BUENOS AIRES	19	CAUCA	OFICIAL	11	A	MI	75	70	0,6037	0,644	0,6164	0,6617	0,612	0,6299	C
20182	111001104264	COLEGIO GERARDO MOLINA RAMIREZ (IED)	11001	BOGOTÁ D.C.	11	BOGOTA	OFICIAL	11	A	MI	676	655	0,7081	0,7178	0,6986	0,7276	0,7191	0,7135	B
20182	205138000142	I. E. R. BUENOS AIRES	5138	CAÑASGORDAS	5	ANTIOQUIA	OFICIAL	11	A	MI	79	75	0,6999	0,6628	0,6659	0,7133	0,5786	0,6772	B
20182	205138000142	I. E. R. BUENOS AIRES	5138	CAÑASGORDAS	5	ANTIOQUIA	OFICIAL	26	A	MI	82	74	0,4922	0,5244	0,5351	0,5914	0,5083	0,5337	D
